PRVDRNUM	PRWI	TCHOP	DSHOPG	COLACP	GAF	TCHCP	DSHCPG	COLA	URSPA	OPCCR	CPCCR
250027	0.7625	0	0.09181	1	0.8305	0	0	1	RURAL	0.777	0.053
250031	0.8064	0	0.33851	1	0.863	0	0	1	RURAL	0.217	0.021
250034	0.8876	0	0.15559	1	0.9216	0	0	1	RURAL	0.4	0.047
250035	0.7625	0	0.12	1	0.8305	0	0	1	RURAL	0.555	0.038
250036	0.8	0	0.12	1	0.8583	0	0	1	OURBAN	0.419	0.025
250038	0.8064	0	0.12	1	0.863	0	0	1	OURBAN	0.348	0.047
250040	0.8418	0	0.12468	1	0.8888	0	0.05873	1	OURBAN	0.292	0.02
250042	0.8876	0	0.42986	1	0.9216	0	0	1	RURAL	0.203	0.018
250043	0.7625	0	0.12	1	0.8305	0	0	1	RURAL	0.381	0.017
250044	0.7878	0	0.03736	1	0.8493	0	0	1	RURAL	0.452	0.028
250048	0.8064	0	0.12446	1	0.863	0	0.05868	1	OURBAN	0.34	0.032
250049	0.7625	0	0.10816	1	0.8305	0	0	1	RURAL	0.731	0.021
250050	0.7625	0	0.12	1	0.8305	0	0	1	RURAL	0.372	0.036
250051	0.7625	0	0.21435	1	0.8305	0	0	1	RURAL	0.753	0.025
250057	0.7625	0	0.12	1	0.8305	0	0	1	RURAL	0.366	0.024
250058	0.7625	0	0.2189	1	0.8305	0	0	1	RURAL	0.373	0.021
250059	0.7625	0	0.10898	1	0.8305	0	0	1	RURAL	0.465	0.021
250060	0.7625	0	0.12	1	0.8305	0	0	1	RURAL	0.496	0.008
250061	0.7625	0	0.0661	1	0.8305	0	0	1	RURAL	0.522	0.051
250067	0.7625	0	0.12	1	0.8305	0	0	1	RURAL	0.469	0.037
250069	0.8284	0	0.24023	1	0.879	0	0	1	RURAL	0.31	0.022
250072	0.8064	0	0.26629	1	0.863	0	0.09618	1	OURBAN	0.157	0.021
250077	0.7625	0	0.12	1	0.8305	0	0	1	RURAL	0.482	0.022
250078	0.8217	0	0.26317	1	0.8742	0	0.09534	1	OURBAN	0.33	0.026
250079	0.7625	0	0.12	1	0.8305	0	0	1	RURAL	1.008	0.076
250081	0.8284	0	0.23141	1	0.879	0	0	1	RURAL	0.18	0.025
250082	0.812	0	0.27017	1	0.8671	0	0	1	RURAL	0.324	0.024
250084	0.7625	0	0.12	1	0.8305	0	0	1	RURAL	0.385	0.029
250085	0.7625	0	0.08991	1	0.8305	0	0	1	RURAL	0.554	0.019
250093	0.7625	0	0.12	1	0.8305	0	0	1	RURAL	0.283	0.034
250094	0.8418	0	0.18811	1	0.8888	0	0.07535	1	OURBAN	0.242	0.013
250095	0.7625	0	0.12	1	0.8305	0	0	1	RURAL	0.491	0.026
250096	0.8064	0	0.07567	1	0.863	0	0.04608	1	OURBAN	0.204	0.027
